,precision,recall,f1-score,support
Thymallus_thymallus,0.6666666666666666,0.7368421052631579,0.7,38.0
Triturus_carnifex,0.5263157894736842,0.5555555555555556,0.5405405405405406,36.0
Turdus_merula,0.6538461538461539,0.5862068965517241,0.6181818181818182,29.0
Turdus_philomelos,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
Upupa_epops,0.7741935483870968,0.5581395348837209,0.6486486486486487,43.0
Ursus_arctos,0.6842105263157895,0.6964285714285714,0.6902654867256637,56.0
Vespa_crabro,0.75,0.7317073170731707,0.7407407407407407,41.0
Vipera_berus,0.5454545454545454,0.6818181818181818,0.6060606060606061,44.0
Vulpes_vulpes,0.47619047619047616,0.625,0.5405405405405406,32.0
Zamenis_longissimus,0.38636363636363635,0.5,0.4358974358974359,34.0
accuracy,0.6813513513513514,0.6813513513513514,0.6813513513513514,0.6813513513513514
macro avg,0.6735999932121135,0.6659520374498521,0.6646748824470976,3700.0
weighted avg,0.6907307372996551,0.6813513513513514,0.6814128614364113,3700.0
